running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                     315.81
8                     314.05
16                    315.92
32                    324.09
64                    339.54
128                   373.58
256                   421.66
512                   421.36
1024                  460.92
2048                  489.38
4096                  514.65
8192                  515.14
16384                 526.99
32768                1007.80
65536                1037.38
131072               1080.12
262144               1160.91
524288               1938.16
1048576              2174.33
 
running recursive_doubling w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.12
8                      19.10
16                     18.99
32                     19.05
64                     19.43
128                    20.97
256                    25.77
512                    27.76
1024                   29.15
2048                   31.02
4096                   34.12
8192                   55.07
16384                  78.83
32768                 106.50
65536                 197.37
131072                319.02
262144                588.97
524288               1152.66
1048576              2158.96
 
running reduce_scatter_allgather w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.05
8                      19.07
16                     18.99
32                     19.03
64                     19.20
128                    21.02
256                    35.71
512                    36.71
1024                   38.79
2048                   42.54
4096                   51.95
8192                   55.49
16384                  64.82
32768                  96.44
65536                 183.04
131072                223.30
262144                331.19
524288                536.54
1048576              1009.59
 
running circ_vring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      21.50
8                      20.99
16                     20.98
32                     20.97
64                     21.14
128                    22.48
256                    30.48
512                    35.16
1024                   34.91
2048                   36.07
4096                   39.37
8192                   67.61
16384                  93.01
32768                 133.11
65536                 183.86
131072                632.31
262144               1286.76
524288               2643.99
1048576              5314.61
 
running circ_rrs_ag w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.98
8                      31.56
16                     33.69
32                     35.81
64                     38.63
128                    43.65
256                    50.02
512                    59.65
1024                   66.46
2048                   87.77
4096                   79.06
8192                   75.43
16384                  87.72
32768                 102.78
65536                 115.58
131072                215.27
262144                434.78
524288               1025.62
1048576              1927.73
 
running circ_rs_ag w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      29.89
8                      31.14
16                     33.03
32                     34.97
64                     36.91
128                    39.85
256                    42.37
512                    46.42
1024                   60.05
2048                   78.40
4096                   61.92
8192                   64.62
16384                  73.19
32768                  96.99
65536                 102.72
131072                137.86
262144                187.77
524288                269.39
1048576               418.67
 
running ring w/ n=10 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      38.10
8                      42.25
16                     47.92
32                     54.14
64                     54.23
128                    54.46
256                    57.49
512                    57.64
1024                   64.20
2048                   85.84
4096                   86.57
8192                   91.46
16384                  93.38
32768                 106.67
65536                 178.59
131072                193.74
262144                231.01
524288                384.86
1048576               668.54
 
running recursive_doubling w/ n=10 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      12.95
8                      12.50
16                     12.55
32                     12.56
64                     12.63
128                    13.69
256                    17.89
512                    19.53
1024                   19.18
2048                   20.92
4096                   22.62
8192                   38.94
16384                  49.42
32768                  63.22
65536                  92.23
131072                139.55
262144                194.62
524288                355.82
1048576               684.16
 
running reduce_scatter_allgather w/ n=10 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      12.80
8                      12.51
16                     12.55
32                     22.33
64                     22.47
128                    22.57
256                    25.03
512                    27.09
1024                   30.11
2048                   32.87
4096                   34.88
8192                   41.75
16384                  49.45
32768                  62.98
65536                  86.87
131072                119.58
262144                165.56
524288                242.64
1048576               426.69
 
running circ_vring w/ n=10 and ppn=1

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      14.11
8                      13.92
16                     13.94
32                     13.97
64                     14.05
128                    15.07
256                    19.41
512                    19.82
1024                   20.77
2048                   22.29
4096                   23.65
8192                   40.33
16384                  49.85
32768                  67.17
65536                  96.69
131072                197.98
262144                335.80
524288                696.79
1048576              1376.74
 
running circ_rrs_ag w/ n=10 and ppn=1

